Feature,Importance
avg_impressions,0.3390507166612058
avg_position,0.17751540771686658
avg_clicks,0.16040852622897273
avg_sessions,0.09518362337110733
avg_pageviews,0.08948361634305432
avg_scroll_events,0.03962758523060076
word_count,0.030907582303865932
avg_engaged_sessions,0.030900089672123866
char_count,0.01805919860523358
keyword_char_count,0.005980110504397023
url_char_count,0.0049884413357587885
keyword_token_count,0.0036391615826776953
search_volume,0.0023620369006861846
backlinks,0.0010695635565074319
avg_ai_sessions,0.0008243399869419266
